,Schedule,Experience,Salary
0,Вахтовый метод,Более 6 лет,179451.71262022853
1,Вахтовый метод,Нет опыта,114490.76086089015
2,Вахтовый метод,От 1 года до 3 лет,121059.76550719142
3,Вахтовый метод,От 3 до 6 лет,152290.4849896133
4,Гибкий график,Более 6 лет,149772.20561262965
5,Гибкий график,Нет опыта,71608.52818724513
6,Гибкий график,От 1 года до 3 лет,78177.5328335464
7,Гибкий график,От 3 до 6 лет,114025.98463484645
8,Полный день,Более 6 лет,137936.58189436793
9,Полный день,Нет опыта,63106.61510130763
10,Полный день,От 1 года до 3 лет,69675.6197476089
11,Полный день,От 3 до 6 лет,102190.36091658473
12,Сменный график,Нет опыта,63106.61510130763
13,Сменный график,От 1 года до 3 лет,69675.6197476089
14,Сменный график,От 3 до 6 лет,102190.36091658473
15,Удаленная работа,Более 6 лет,159088.26127669215
16,Удаленная работа,Нет опыта,76696.79210326076
17,Удаленная работа,От 1 года до 3 лет,83265.79674956203
18,Удаленная работа,От 3 до 6 лет,119114.24855086207
