,0
0,17 ruby python_django php_laravel js ror desktop_web linux веб автоматизация
1,консультация ремонт nginx back_end graphql agile_scrum data_driven waterfall end_end
2,ml алгоритм измерение time_time библиотека python нейросеть cuda opencl api
3,ооп_gcd objective arkit storyboard avfoundation xib mvp_viper uikit_swiftui beta coredata_realm
4,архитектура sql postgresql субд методология_agile субд_postgresql управление git реализация библиотека
5,управление аудит установка прогнозирование 2 5 yolo план onnx_tensorrt архитектура
6,ответственность typescript websocket rest_api end 3 архитектура git оптимизация библиотека
7,бренд субд_oracle retail json_xml postgresql_mysql delphi codereview curl transact_sql инвестиция_инвестиция
8,ооп_gcd objective arkit storyboard avfoundation xib mvp_viper uikit_swiftui beta coredata_realm
9,git docker code_review рефакторинг kanban sql_nosql оптимизация 2 5 реализация
10,backend iot embedded iiot 3 образование управление qt микроконтроллер_микроконтроллер электротехника
11,ооп_gcd objective arkit storyboard avfoundation xib mvp_viper uikit_swiftui beta coredata_realm
12,space numpy_scipy ethernet прошивка мультиметр matplotlib управление тестирование python c
13,статистика bash learning tcp_ip science многопоточность математик честность микроконтроллер udp
14,c магазин контроллер ответственность_самоорганизация sip 5 2 образование проектирование
15,тестирование linux git c архитектура x86 stm32 микроконтроллер_stm32 pcie
16,ios gitlab jira_confluence hr soap_rest ci_cd архитектура проектирование tdd docker
17,management english developer дизайнер code test e algorithms reporting agile_методология
18,node_js онлайн fintech elasticsearch_redis postgresql архитектура nest_js брокер торговля sql
19,js api etc react git визуализация html_css веб архитектура rnd
20,план oracle r vue_js x v 2 sql jira 5
21,ооп_gcd objective arkit storyboard avfoundation xib mvp_viper uikit_swiftui beta coredata_realm
22,ci_cd devops kubernetes ansible блок docker_kubernetes pytorch redis rabbitmq работоспособность
23,отчётность 24 тз 2 5 bitrix тайм 3 тестирование 4
24,solid jenkins адаптация юнит_тест видеонаблюдение qt проектирование postgresql тестирование оптимизация
25,go rest организовать golang менеджмент брокер_kafka grpc асутп архитектура cortex
26,ооп_gcd objective arkit storyboard avfoundation xib mvp_viper uikit_swiftui beta coredata_realm
27,интеграция qa методология архитектура скорость торговля трейдинг оптимизация 2 5
28,организация gitlab_ci образование cd 5 обучаемость mssql ответственность_внимательность 2 проектирование
29,автоматизация программист aosp linux 5 hal ос_linux cmake makefiles
30,fintech shell high_load low_latency gcc_gdb drivers оптимизация linux development карта
31,моделирование com sdk teamcity redmine управление реализация sql проектирование 2
32,ооп_gcd objective arkit storyboard avfoundation xib mvp_viper uikit_swiftui beta coredata_realm
33,2 5 образование stack ас sql 3 git java архитектура
34,ооп_gcd objective arkit storyboard avfoundation xib mvp_viper uikit_swiftui beta coredata_realm
35,3 5 sql linux автоматизация субд_oracle stl windows_linux
36,1с сертификация windows_linux программист образование 3 5 автоматизация реализация
37,анализ образование кредит llm инжиниринг chatgpt оптимизация тестирование тренинг библиотека
38,crm net erp sql реализация библиотека алгоритм субд com ado
39,ооп_gcd objective arkit storyboard avfoundation xib mvp_viper uikit_swiftui beta coredata_realm
40,веб маркетинг http_https html seo net_core css less asp_net
41,дизайн ос_linux ос архитектура unix unix_linux библиотека тестирование c linux
42,ооп_gcd objective arkit storyboard avfoundation xib mvp_viper uikit_swiftui beta coredata_realm
43,java rest_api sql kafka микросервис api etl kubernetes java_spring scala
44,вёрстка пк github flow cv angular mlops старт mvp vpn
45,ооп_gcd objective arkit storyboard avfoundation xib mvp_viper uikit_swiftui beta coredata_realm
46,ооп_gcd objective arkit storyboard avfoundation xib mvp_viper uikit_swiftui beta coredata_realm
47,библиотека unit_тест p git 2 5 ацп цап оптимизация 4
48,тест ос_windows ux_ui робототехника архитектура библиотека 2 5 git алгоритм
49,реализация гибкость macos криптография desktop api ответственность проектирование оптимизация архитектура
50,windows cad электротехника сапр 5 2 реализация api net
51,карта яндекс управление алгоритм 3 архитектура python java тест
52,middle php git mysql enterprise медиа elasticsearch highload trading webrtc
53,data_science kotlin agile java_kotlin ai nodejs схд frontend_backend консолидация git
54,development design system clickhouse end hardware cross http_rest bitbucket nosql
55,swift nlp тренинг инвестиция обследование аккуратность гис apache_nginx dry_kiss тест_jest
56,ооп_gcd objective arkit storyboard avfoundation xib mvp_viper uikit_swiftui beta coredata_realm
57,графика review ci http zabbix bash_powershell perl tls cli java
58,data оптимизация gpu 3d калибровка алгоритм git управление образование тестирование
59,ui core time jira frontend like ооп_solid uml git механик
60,страхование 4 автотест network библиотека management tcp_ip dpdk linux
61,ооп_gcd objective arkit storyboard avfoundation xib mvp_viper uikit_swiftui beta coredata_realm
62,ооп_gcd objective arkit storyboard avfoundation xib mvp_viper uikit_swiftui beta coredata_realm
63,linux администрирование mongodb mongo python3 opc modbus 2 git_gitflow python
64,web активность юрист pc sql boost postgres образование проектирование
65,ооп_gcd objective arkit storyboard avfoundation xib mvp_viper uikit_swiftui beta coredata_realm
66,онлайн мотивация node_js брокер ru js_typescript orm nest_js библиотека архитектура
67,проектирование ооп образование архитектура 2 5 stl 3 git библиотека
68,python нейросеть алгоритм библиотека ml api time_time рефакторинг 3d opengl
69,планирование образование схемотехник uart_i2c тестирование проектирование c ethernet страхование прошивка
